Date,ESG,Value/Size/Mom,Value/Size/Mom/ESG,Value,Value/ESG,Size,Size/ESG,Momentum,Momentum/ESG,Value/Size,Value/Size/ESG,Value/Momentum,Value/Momentum/ESG,Size/Momentum,Size/Momentum/ESG
2020-06-23,-46.0,-3.500000000000014,-7.225000000000005,9.600000000000005,-18.200000000000003,-25.800000000000008,-30.699999999999996,-2.6999999999999957,-22.95,-11.250000000000004,-14.700000000000006,4.2499999999999964,-11.400000000000006,-11.05,-18.666666666666657
2020-06-24,-46.0,-3.500000000000014,-7.225000000000005,9.600000000000005,-18.200000000000003,-25.800000000000008,-30.699999999999996,-2.6999999999999957,-22.95,-11.250000000000004,-14.700000000000006,4.2499999999999964,-11.400000000000006,-11.05,-18.666666666666657
2020-06-25,-46.0,-3.500000000000014,-7.225000000000005,9.600000000000005,-18.200000000000003,-25.800000000000008,-30.699999999999996,-2.6999999999999957,-22.95,-11.250000000000004,-14.700000000000006,4.2499999999999964,-11.400000000000006,-11.05,-18.666666666666657
2020-06-26,-46.0,-3.500000000000014,-7.225000000000005,9.600000000000005,-18.200000000000003,-25.800000000000008,-30.699999999999996,-2.6999999999999957,-22.95,-11.250000000000004,-14.700000000000006,4.2499999999999964,-11.400000000000006,-11.05,-18.666666666666657
2020-06-29,-46.0,-3.500000000000014,-7.225000000000005,9.600000000000005,-18.200000000000003,-25.800000000000008,-30.699999999999996,-2.6999999999999957,-22.95,-11.250000000000004,-14.700000000000006,4.2499999999999964,-11.400000000000006,-11.05,-18.666666666666657
2020-06-30,-46.0,-3.500000000000014,-7.225000000000005,9.600000000000005,-18.200000000000003,-25.800000000000008,-30.699999999999996,-2.6999999999999957,-22.95,-11.250000000000004,-14.700000000000006,4.2499999999999964,-11.400000000000006,-11.05,-18.666666666666657
2020-07-01,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-02,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-06,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-07,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
